Personal Care	2504 4694 7175 8407 8587 10780 14196 14500 16343 18187 21347 21361 22822 23376 24769 26223 27614 30483 30810 31625 35113 38328 43040 43047 43394
Health Care	12126 26107 29831 43298
First Aid	88 265 296 546 1095 1174 1229 1278 1319 1452 1502 1509 1661 1734 2149 2226 2238 2444 2543 2572 2579 2705 3289 3347 3508 3607 3629 3785 4187 4192 4379 4704 5509 5541 5664 5794 5845 5914 6009 6209 6260 6344 6445 6506 6934 6936 7110 7508 7589 7801 7807 7822 7922 8017 8135 8218 8299 8547 8615 8825 9181 9430 9469 9685 9774 9808 9903 10792 10818 11034 11082 11384 11577 11956 12125 12219 12316 12680 12698 12875 12892 12968 13011 13151 13224 13310 13438 13442 13861 14571 14651 14683 14710 14822 15028 15199 15328 15521 15570 15902 16203 16293 16339 16428 16525 16589 16598 16633 16971 17051 17086 17136 17146 17230 17377 17470 18008 18063 18105 18136 18150 18164 18242 18340 18465 18493 18532 18621 18808 18900 18977 19011 19692 19871 19956 20011 20339 20435 20523 20532 20759 20781 21198 21326 21438 21826 21875 21979 22090 22191 22320 22379 22417 22651 22791 22854 22908 22941 22974 23061 23287 23401 23475 23689 23759 23846 24008 24054 24070 24110 24183 24212 24466 24576 24579 24611 24756 24841 24952 24986 25357 25449 25605 25733 25764 25883 25917 25963 26168 26192 26218 26352 26378 26427 26649 26653 26808 26965 27235 27305 27381 27441 27704 27792 27833 27876 28017 28082 28242 28382 28582 28677 28880 28940 28968 28993 28994 29023 29101 29235 29457 29743 29906 30290 30481 30502 30639 30683 30782 30998 31136 31426 31580 31626 31770 32092 32169 32482 32491 32507 32548 32550 32723 32881 32921 32941 33234 33311 33405 33541 33583 33726 34007 34050 34108 34624 34673 34695 34751 34861 35065 35180 35269 35453 35561 35831 35902 36026 36328 36541 36582 36786 37049 37429 37483 37566 37710 38014 38416 38454 38495 38538 38577 38596 38652 38729 38857 38893 39046 39203 39372 39407 39485 39524 39552 39623 39785 40085 40108 40324 40496 40555 40574 40797 41246 41284 41785 41810 41978 42080 42187 42243 42325 42337 42444 42634 42683 42786 42850 42918 43163 43244 43532 43990 44166 44182 44197 44231 44273 44300 44630
Massage & Relaxation	11 34 86 106 151 193 337 372 785 828 858 928 1011 1022 1075 1157 1314 1330 1409 1438 1583 1615 1637 1918 2020 2254 2257 2271 2331 2339 2450 2494 2910 2957 3071 3164 3207 3298 3314 3331 3385 3615 3777 3804 3863 4021 4171 4262 4376 4499 4530 4675 4734 4772 4809 4810 4811 4812 4851 4867 4891 4957 5118 5135 5213 5260 5272 5325 5365 5400 5448 5575 5710 5975 6090 6252 6374 6438 6464 6784 6785 6823 6971 6985 7014 7354 7674 7687 7805 7816 7874 8039 8087 8128 8345 8483 8747 8813 8901 8906 9176 9194 9216 9348 9412 9495 9570 9627 9639 9749 9754 9815 9920 9999 10030 10054 10063 10076 10128 10155 10178 10179 10220 10231 10297 10374 10544 10583 10731 10766 10774 10827 10856 10955 10982 11095 11113 11118 11257 11311 11383 11442 11474 11515 11668 11685 11696 11709 11731 11754 11820 11891 12002 12371 12376 12423 12503 12595 12627 12732 12746 12850 13052 13122 13238 13497 13811 13955 13979 14077 14099 14225 14244 14256 14324 14605 14715 14736 14840 14925 15050 15222 15443 15568 15609 15622 15784 15839 15863 15934 16148 16228 16241 16283 16438 16449 16908 16950 17159 17443 17568 17574 17761 17877 17896 17909 17917 18348 18359 18398 18546 18609 18780 18962 19163 19276 19285 19399 19429 19510 19546 19582 19592 19648 19837 19859 19877 19977 20137 20204 20260 20284 20328 20346 20403 20536 20569 20674 20712 20719 20816 21039 21148 21219 21234 21422 21483 21494 21533 21629 21703 21724 21831 21850 21908 22027 22033 22053 22117 22228 22458 22495 22564 22618 22652 22688 22718 22736 22806 22900 22970 23031 23125 23130 23206 23313 23330 23365 23514 23557 23569 23586 23693 23710 23857 23922 23930 23972 24231 24340 24448 24554 24572 24707 24763 24826 24889 24979 24981 25051 25116 25153 25176 25614 25638 25714 25715 25847 25962 25971 26050 26095 26122 26281 26353 26369 26494 26588 26626 26655 26676 26774 26810 26819 26947 27040 27199 27341 27544 27584 27689 27774 27868 27944 28035 28285 28477 28531 28647 28713 28716 28834 28954 28997 29182 29222 29228 29276 29335 29348 29512 29597 29782 29851 29950 30034 30103 30151 30211 30237 30258 30434 30480 30493 30517 30605 30708 30718 30824 30885 30903 30921 30946 31051 31106 31115 31183 31313 31339 31346 31401 31526 31609 31679 31684 31849 31883 32024 32050 32159 32206 32347 32493 32535 32549 32581 32605 32655 32726 32838 32875 32908 32951 33058 33088 33255 33257 33306 33386 33496 33503 33516 33563 33602 33618 33773 33902 34016 34022 34030 34154 34165 34251 34317 34454 34455 34457 34581 34646 34680 34804 34875 34894 34959 35010 35131 35134 35191 35203 35208 35538 35543 35683 35770 35974 36062 36078 36108 36149 36151 36185 36229 36249 36310 36386 36396 36636 36649 36712 36801 36804 36875 36897 36899 37196 37426 37523 37623 37673 37979 38011 38050 38078 38287 38302 38380 38487 38510 38584 38673 38739 38791 38934 39195 39222 39324 39359 39394 39414 39418 39451 39562 39585 39792 39806 39816 39853 39892 39902 40133 40166 40218 40334 40375 40382 40530 40708 40735 40748 40790 40805 40834 41205 41218 41225 41406 41744 41877 42021 42143 42283 42371 42405 42448 42700 42797 42801 42869 42968 43023 43131 43307 43370 43424 43517 43613 43630 43779 43848 44375 44546 44578 44579 44647 44648 44711 44740
Cough & Cold	80 133 253 278 423 439 534 780 865 995 1172 1242 1290 1536 1567 1619 1867 2349 2740 2745 3752 3929 4291 4497 5671 5738 5759 5782 5815 5996 6055 6167 6582 6633 6770 6945 7352 7423 7635 7717 7772 8212 8809 8911 9028 9169 9349 9384 9837 10529 10767 10809 10972 11449 11511 11817 11994 12080 12171 12678 12957 12979 13516 13820 13973 14251 14874 15655 16486 16773 16884 17007 17338 17519 17529 17617 17796 18100 18119 18472 18734 18781 19525 19945 20306 20430 20433 20521 20921 21143 21295 21360 22313 22898 23236 23558 23807 23870 24153 24440 24704 25351 25588 25681 25687 25705 26399 26505 26593 26633 26723 27098 27216 27303 27396 27864 27963 28016 28332 28450 28819 28876 29035 29190 29225 29947 30235 30326 31093 31519 31622 32217 32342 32609 33066 33156 33183 33288 33439 33735 33744 34126 34146 34179 34803 35082 35370 35464 35842 35849 35915 35948 35977 36272 36274 36282 36462 36783 36858 36913 37136 37166 37174 37262 37268 37324 37797 37883 37932 37946 38615 38919 39243 39420 39424 39730 39884 39998 40284 40291 40564 40739 41057 41137 41382 41592 41872 41999 42030 42491 42929 42954 43207 43291 43704 44109 44659 44805 44886 44978
Thermometers	834 1073 1417 1642 2763 3384 4011 5223 5734 8728 11486 12032 13458 13607 14175 14277 14348 14498 15796 19626 22000 23322 23900 24768 26869 27840 28683 29195 29525 29924 31604 32193 33362 33558 36484 36724 38466 39194 41520 41832 42994 43045 43898 44417
Stimulants	3395 5240 5707 13416 16858 26896 29503 37164
Therapeutic Skin Care	51 3512 3543 3658 3940 5191 5351 6398 7256 7856 8346 8702 9254 10162 10254 10274 10898 11572 11702 12366 12903 13426 14033 14323 15010 16809 17143 18580 19364 19610 20225 20590 21870 23264 25242 26298 28066 28078 28233 29571 29876 30177 31260 31497 33997 34659 36972 37391 38277 39137 40664 40681 41752 43669 44073
Foot Care	92 155 350 837 952 1382 2007 2228 2451 2488 2682 2891 2926 3178 3299 3638 3791 3953 4172 4404 4476 4498 4682 4782 5017 5162 5214 5219 5663 5902 6102 6196 7088 7125 7129 7321 7385 7458 7541 7604 7904 8308 8443 8542 8616 8738 8806 9012 9248 9527 9649 9716 9757 9895 10021 10148 10165 10347 10422 10552 10948 11192 11335 11394 11824 11843 11870 12701 12731 13215 13240 13253 13377 13523 13582 13653 13943 14187 14725 14783 14848 15233 15365 15377 15596 15620 15737 15848 15968 16053 16311 16372 16506 16549 16747 17012 17046 17107 17260 17267 17486 17526 17620 17653 17729 17786 17817 17838 17890 17974 18062 18256 18657 18732 19042 19232 20126 20283 20606 20685 20779 20801 20805 21532 21573 21658 21916 21968 21986 22316 22537 22549 22630 22648 22750 22778 22867 23014 23090 23277 23349 23505 23655 23847 23868 24191 24204 24246 24370 24513 24640 24661 24673 24820 24827 24995 25400 25470 25686 25827 26102 26236 26274 26278 26547 26701 26897 27329 27384 27451 27585 27951 27985 28139 28259 28394 28445 28635 28742 28952 29079 29258 29689 29708 29843 30079 30179 30522 31379 31457 31764 31799 32059 32127 32147 32440 32629 32755 32978 33007 33171 33216 33238 33512 33577 33606 33651 34019 34249 34279 34432 34486 34686 34732 35066 35164 35213 35234 35257 35499 35504 35699 35792 36017 36027 36100 36242 36405 36731 36923 36937 36940 37332 37368 37752 37769 37786 37893 37907 38059 38437 38627 38759 38800 39334 39596 39755 39803 40007 40157 40635 40658 40950 41138 41191 41616 41620 41750 41909 42067 42076 42151 42196 42213 42223 42472 42481 42505 42789 43061 43087 43357 43580 43753 43801 43866 43961 44234 44409 44435 44456 44463 44525 44560 44600 44658 44717 44784 44853 44877
Smoking Cessation	7885 8331 8507 13077 13873 14021 15953 22842 26948 28070 28219 30302 37227 40352 41599 43804
Sleep & Snoring	118 510 627 960 1308 1529 1730 1750 1936 1960 1980 2111 2159 2303 2448 2667 2671 2744 2818 2870 2986 3249 3424 3430 3600 3868 4185 4457 4594 4858 4936 5091 5097 5555 5654 5798 5811 5858 5897 5945 6032 6071 6741 7322 7360 7380 7409 7594 7976 8155 8326 9099 9130 9257 9283 9623 9802 9825 9974 10437 10443 10504 10513 11009 11127 11346 11503 11571 11800 12119 12216 12253 12346 12886 12948 13044 13138 13139 13272 13312 13506 13605 14096 15026 15409 15417 15681 15869 16014 16155 16266 16326 16334 16448 16652 16655 16837 16898 17140 17311 17378 17654 17895 18022 18048 18092 18097 18278 18586 18624 18758 18865 18954 18971 19463 19656 19922 20037 20266 20432 21104 21124 21250 21484 21510 21637 22008 22192 22452 22715 22732 22833 22847 22939 22953 22954 23126 23575 23613 23626 23648 23811 23899 24429 24569 24894 25615 25690 25908 26656 26868 27257 27302 27632 27733 27782 28001 28015 28208 28730 28843 28974 29025 29163 29429 29966 29971 30050 30110 30203 30426 31024 31266 31294 31458 32320 32349 33165 33172 33249 33589 33805 34964 36287 36479 36482 36492 36743 37755 37994 37997 38198 38343 38500 38657 38832 39158 39317 39361 40004 40057 40178 41303 41622 41660 41684 41959 42376 42493 42657 42659 42839 43122 43327 43388 43514 43679 43714 43730 44070 44233 44523 44888 44913
Allergy, Sinus & Asthma	369 895 1068 1076 1276 1367 1503 1653 2166 2347 2506 2605 3163 3179 3582 3662 4115 4335 4382 4479 4549 4935 5043 5061 5065 5293 5311 5993 6500 7028 7160 7329 7460 7561 7849 8057 8494 9407 9590 9624 9654 9806 9850 10399 10440 10547 10649 10847 10991 11235 11775 12086 12203 12229 12541 12647 12823 12988 13318 13352 13459 13471 13512 13761 14075 14232 14340 14800 14877 15055 15234 15407 15519 15643 15777 15800 15929 15940 16143 16292 16585 16817 16852 16947 16979 17153 18143 18171 18220 18362 18427 18502 18591 18856 19060 19320 19403 19708 20305 20450 20704 21040 21269 21565 21567 21570 21623 21685 22678 22858 23000 23308 23336 23792 24215 24353 24809 24866 24993 25493 25664 26066 26081 26242 26295 26323 26382 26543 26905 27273 27459 27587 27841 28366 28561 28604 29050 29177 29239 29242 29406 29734 29894 30022 30735 30744 31317 31365 31416 31505 31573 31815 31968 32126 32153 32595 32962 33962 34025 34128 34295 34331 34447 34514 34846 34944 35041 35096 35192 35883 36097 36222 36358 36508 36677 36699 37023 37154 37604 37621 37763 38527 38762 39096 39202 39413 40069 40074 40114 40232 40338 40376 40394 40434 40973 41055 41167 41335 41427 41664 42285 42644 43594 43604 43667 43963 44238 44275 44407 44487 44617 44960
Alternative Medicine	37 57 62 148 194 466 528 642 1079 1114 1116 1232 1368 1478 1658 1830 1913 2083 2467 3079 3140 3467 3735 3835 4253 4295 4841 5081 5089 5307 5322 5389 5833 5890 6121 6478 7283 7554 8061 8560 10107 10208 10577 10709 10899 10920 10947 11068 11146 11379 11708 11883 12088 12202 12204 12696 12705 12728 12763 12804 12943 12967 13083 13118 13651 14560 14688 14883 15071 15087 15696 16574 17184 17206 17287 17623 17837 18068 18224 18660 19439 19447 19623 19762 20020 20684 20795 21459 21461 21740 21899 21927 22025 22100 22850 22985 24185 24504 25204 25408 25708 25822 26022 26157 26420 26460 26993 26995 27033 27045 27364 28032 28345 28506 28772 28817 29147 29238 29372 29601 29872 30059 30356 30410 30590 30725 30944 31232 31234 31316 31380 31595 31797 31833 32522 32752 32791 32792 32942 33072 33411 33455 33513 33580 33636 34099 34118 34843 35262 35515 35569 35629 35903 36007 36129 36986 37094 37272 37295 37507 37771 38373 38529 38831 38896 38935 39060 39226 39294 39571 39965 40107 40421 40684 41143 41176 41204 41281 41461 41515 42254 42370 42656 43373 43584 43624 43874 43877 43919 44383 44489 44822 44872 44920 44931 44954
Stress Reduction	562 3368 4001 4371 5743 9031 12694 15789 17667 19745 20252 21857 24004 24051 27194 29567 29818 30129 30663 36471 36790 36953 38494 39542
Cold Sore & Fever Blister Treatments	1814 1825 4849 5072 8300 10788 20257 20922 38561
Eye Care	606 777 805 827 898 983 1147 1299 1512 1904 2038 2064 2524 2570 2612 2798 3075 3369 3631 3772 3870 4979 5059 5706 6016 6450 6608 6774 7053 7377 7468 7794 8211 8608 8869 8875 8885 9053 9899 10034 10401 10482 10630 10757 10761 10850 11491 12589 12963 13056 13314 14830 15112 15344 15473 15511 15538 15653 15770 15791 15823 16035 16141 16331 16630 16654 16723 16801 16943 17307 17629 18145 18245 18640 19045 19225 19361 20497 20526 20993 21569 21729 21767 21846 21867 21883 22016 22361 22712 23510 23679 23961 24142 24509 24824 24888 25613 26040 26195 26240 26453 27006 27316 27627 27737 27907 27966 28403 28474 28850 29433 29603 29869 30964 31100 31113 31348 31947 32167 32417 32551 32640 34399 34737 34749 34827 34982 35194 35379 35723 35844 36407 36985 36999 37050 37180 37313 37345 37371 37576 38411 38565 38731 38738 38763 39267 40209 40212 40292 40518 40763 40832 40932 40948 41248 41423 41850 42343 42349 42930 43297 43461 44083 44202 44483 44955 44987
Feminine Care	623 695 943 956 1424 2015 2438 2505 2566 3377 3583 4381 4740 4875 5123 5266 5723 5969 6057 6177 6320 6354 6698 6821 6938 6973 7046 7097 7388 7667 7784 8088 8118 8753 8879 9329 9500 9549 10340 10558 10864 11657 11658 11679 12114 12543 13059 13308 13911 14026 14617 14862 14879 15004 15048 15287 15557 16012 16282 16314 16776 16890 16962 17495 17561 17810 17836 18004 18125 18303 18526 18712 18785 18891 19238 19478 19643 19862 19872 19912 20004 20350 20610 20875 20894 21012 21199 21264 21495 22456 22464 22532 22808 23269 23437 24135 24559 24656 24740 25218 26252 26881 27010 27241 27307 27418 27593 27620 27665 27727 28008 28081 28090 28159 28323 28797 28901 29699 30139 30705 30789 30995 31006 31585 31673 31681 31957 32254 32885 33062 33122 33374 33377 33648 33951 33981 34037 34367 34468 34472 34543 35726 35765 35794 35857 35996 36086 36304 36501 36718 36885 36935 36970 37006 37418 38107 38124 38141 38195 38381 38462 38568 38725 39180 39247 39345 39689 39739 39747 39921 40386 40707 40760 40838 40862 40921 41294 41347 42025 42201 42269 42336 42576 42769 42788 42905 43117 43371 43914 44373 44397 44566
Ear Care	537 876 976 1205 1817 2071 3565 3788 3945 4036 4583 5022 5721 5856 5963 5972 7525 7563 8800 8943 10760 11457 12582 14669 14998 15561 15807 15838 16102 16187 16527 16597 17763 18288 18385 18600 19348 19404 19587 21281 22836 22904 23316 23415 23892 24728 24758 24975 28783 30926 31274 31628 31893 32500 32975 33425 33458 33497 33864 34634 34873 35218 35583 36201 36811 37133 37807 38254 38501 39356 39774 40799 41730 41838 42941 43503 44272 44668
Body Art	25769 29105
Lip Care	748 1408 1511 1851 1858 2603 3106 3396 3528 3728 3869 4394 4500 4958 5092 5321 5402 5712 6265 6721 7260 7493 8025 8111 8229 8589 8688 9173 9219 9274 9849 9948 10729 12122 12601 12798 13144 13356 13598 13647 13702 13717 14313 14477 14938 15440 15531 16269 18955 19084 19115 19365 19943 20352 20696 20888 21282 21354 21539 21621 21953 21991 22294 22341 22515 22662 23411 24694 24798 24880 25251 25720 26101 26988 27283 27376 28889 29167 29189 29426 30023 30357 30748 32161 32260 32415 32436 32563 32564 32621 32716 32902 32956 32959 34697 35571 35705 36394 37580 38216 38907 38998 39370 39508 39891 40194 40593 41388 41514 41643 43318 43950 44306 44445 44518 44848 44901
Oral Hygiene	23 76 114 115 142 169 203 390 413 415 420 421 426 460 467 655 663 690 694 697 842 907 1006 1108 1225 1266 1339 1400 1416 1436 1531 1542 1650 1662 1702 1714 1737 1740 1744 1856 1958 2099 2153 2218 2304 2401 2496 2527 2532 2547 2622 2687 2712 2731 2883 2889 2916 3062 3076 3137 3174 3191 3251 3263 3285 3302 3313 3403 3434 3453 3480 3530 3771 3793 3828 3866 3942 3951 4052 4054 4079 4189 4234 4258 4443 4467 4584 4605 4644 4667 4712 4798 4906 4954 4969 4974 5099 5215 5373 5395 5469 5498 5581 5741 5790 5824 5951 5997 6011 6040 6125 6173 6180 6216 6340 6447 6473 6485 6580 6585 6596 6719 6799 6809 6907 6909 6918 7169 7309 7343 7437 7453 7522 7647 7720 7924 8320 8375 8516 8623 8642 8644 8904 8957 8984 9046 9125 9167 9202 9250 9379 9457 9462 9597 9672 9712 9818 9822 9914 10022 10080 10132 10189 10216 10235 10311 10412 10449 10569 10609 10745 10811 10890 10893 11003 11077 11087 11259 11283 11332 11358 11395 11468 11533 11748 11818 11876 11896 12132 12365 12438 12464 12515 12584 12646 12727 12898 12932 12986 13013 13058 13091 13212 13213 13221 13316 13354 13383 13393 13450 13578 13740 13745 13788 13859 14022 14127 14189 14246 14302 14381 14795 14803 14852 14964 15079 15123 15197 15405 15422 15455 15485 15603 15615 15631 15687 15736 15977 16072 16270 16374 16509 16600 16601 16697 16746 16815 16830 16949 17022 17152 17245 17289 17292 17301 17328 17394 17432 17473 17476 17506 17599 17608 17725 17824 17867 17870 18285 18308 18386 18429 18432 18539 18695 18751 18754 18821 18822 18884 18916 18939 18958 19032 19078 19106 19136 19137 19147 19208 19371 19374 19406 19441 19498 19609 19948 19978 20112 20147 20203 20276 20325 20360 20382 20426 20457 20458 20465 20545 20682 20760 20811 20845 20873 20988 21002 21049 21058 21065 21086 21142 21223 21262 21394 21419 21525 21558 21620 21702 21746 21800 22110 22152 22160 22210 22318 22365 22385 22401 22403 22611 22660 22775 22856 22946 22947 22997 23006 23013 23030 23124 23132 23214 23346 23358 23368 23417 23426 23466 23554 23597 23606 23649 23769 23790 23805 23827 23850 23935 23937 24033 24221 24249 24350 24449 24639 24654 24664 24667 24676 24715 24733 24773 24783 24823 24832 24833 24845 24872 24909 24928 25076 25086 25131 25141 25149 25224 25322 25339 25373 25431 25468 25510 25591 25648 25691 25726 25839 25878 25906 25977 25989 25990 26023 26034 26156 26388 26445 26455 26483 26502 26621 26699 26900 26909 26928 26935 26949 27054 27071 27120 27155 27166 27190 27198 27202 27433 27576 27609 27705 27712 27713 27826 27844 27973 27997 28053 28064 28072 28097 28158 28213 28238 28377 28519 28587 28616 28637 28707 28737 28802 28991 29056 29109 29202 29324 29336 29702 29834 29984 30126 30173 30193 30227 30309 30315 30317 30445 30512 30549 30551 30624 30720 30737 30811 31059 31190 31237 31319 31343 31388 31389 31538 31644 31667 31697 31755 31942 32081 32083 32094 32235 32242 32268 32357 32382 32396 32408 32414 32452 32624 32687 32718 32758 32766 32812 32813 32879 32947 33037 33071 33189 33397 33399 33441 33532 33578 33621 33683 33790 33807 33934 33993 34098 34161 34214 34238 34413 34463 34494 34503 34591 34639 34651 34833 34878 34902 35049 35087 35112 35128 35148 35156 35197 35237 35275 35302 35320 35407 35492 35714 35780 35879 35894 35931 35939 36083 36091 36197 36293 36365 36439 36442 36608 36706 36767 36785 36830 36962 37009 37072 37149 37240 37263 37379 37469 37616 37719 37925 38074 38178 38279 38289 38303 38327 38386 38392 38451 38523 38582 38864 38932 38981 38986 39000 39027 39042 39151 39325 39377 39497 39547 39607 39628 39836 39951 39964 39967 40020 40092 40192 40198 40207 40408 40638 40676 40715 41030 41063 41075 41096 41097 41099 41149 41161 41239 41367 41441 41467 41485 41626 41638 41641 41661 41687 41688 41729 41732 41797 41874 41916 41917 41950 41979 42004 42072 42227 42249 42268 42310 42333 42451 42462 42477 42662 42670 42691 42715 42756 42907 42950 42985 42989 43151 43205 43210 43231 43360 43384 43428 43452 43483 43516 43724 43732 43749 43982 44011 44013 44101 44131 44189 44192 44204 44236 44262 44293 44355 44414 44455 44480 44513 44533 44626 44654 44694 44731 44742 44841 44863 44865
Foot Care	92 155 350 837 952 1382 2007 2228 2451 2488 2682 2891 2926 3178 3299 3638 3791 3953 4172 4404 4476 4498 4682 4782 5017 5162 5214 5219 5663 5902 6102 6196 7088 7125 7129 7321 7385 7458 7541 7604 7904 8308 8443 8542 8616 8738 8806 9012 9248 9527 9649 9716 9757 9895 10021 10148 10165 10347 10422 10552 10948 11192 11335 11394 11824 11843 11870 12701 12731 13215 13240 13253 13377 13523 13582 13653 13943 14187 14725 14783 14848 15233 15365 15377 15596 15620 15737 15848 15968 16053 16311 16372 16506 16549 16747 17012 17046 17107 17260 17267 17486 17526 17620 17653 17729 17786 17817 17838 17890 17974 18062 18256 18657 18732 19042 19232 20126 20283 20606 20685 20779 20801 20805 21532 21573 21658 21916 21968 21986 22316 22537 22549 22630 22648 22750 22778 22867 23014 23090 23277 23349 23505 23655 23847 23868 24191 24204 24246 24370 24513 24640 24661 24673 24820 24827 24995 25400 25470 25686 25827 26102 26236 26274 26278 26547 26701 26897 27329 27384 27451 27585 27951 27985 28139 28259 28394 28445 28635 28742 28952 29079 29258 29689 29708 29843 30079 30179 30522 31379 31457 31764 31799 32059 32127 32147 32440 32629 32755 32978 33007 33171 33216 33238 33512 33577 33606 33651 34019 34249 34279 34432 34486 34686 34732 35066 35164 35213 35234 35257 35499 35504 35699 35792 36017 36027 36100 36242 36405 36731 36923 36937 36940 37332 37368 37752 37769 37786 37893 37907 38059 38437 38627 38759 38800 39334 39596 39755 39803 40007 40157 40635 40658 40950 41138 41191 41616 41620 41750 41909 42067 42076 42151 42196 42213 42223 42472 42481 42505 42789 43061 43087 43357 43580 43753 43801 43866 43961 44234 44409 44435 44456 44463 44525 44560 44600 44658 44717 44784 44853 44877
